School Name,Author Name,Review,Rating,Language,Relative Time
The American International School in Egypt,Shereif Barakat,"Honestly, like any other school there are a lot of annoying things about the school. Annoying rules, annoying members of the administration, annoying teachers etc. But putting aside those differences, this is without a shadow of a doubt one of the top three schools in the country (this is coming from an alumni of the school). Your children will be taught by international professionals, raised and taught in a high class, open-minded, and cultured community. There will be certain teachers in their path to graduation that will positively influence their educational lifestyle. And all in all, they will be more ready for the world than most Egyptians. One issue is some graduates might be more ready for the world abroad but less ready for Egypt due to the western style of schooling they're raised into. In a situation like this, the parents are responsible for nurturing their kid's Egyptian identity.",5,en,10 months ago
The American International School in Egypt,Abdel Karim Raafat,I study in AISE and it teaches us really well. Also people from all around the world come to learn here,5,en,5 months ago
The American International School in Egypt,Hassan Taher,Theay taut meh how 2 reed,5,en,5 months ago
The American International School in Egypt,Yassmin Amr,Mmreally it is nice school that i ever seen,5,en,2 months ago
The American International School in Egypt,Ali Abou Taleb,It the best school,5,en,5 months ago
Modern Schools of Egypt 2000,Chicken 123,"This school is the worst. There are teachers who are ignorant to the children and allow bullying and do not care for what the students say. My experience started when I first applied and started the first day of school. I, as most kindergarten children would do, cried when my father left. My sister came to comfort me a little yet the teacher yelled at her so much without listening and even made my sister who was in 2nd grade cry. Keep in mind this is a kindergarten teacher. At lunch, I had my purple barney lunch box ready to be eaten and this child came and stole it. I tried to tell a teacher yet she just kept on chatting with a fellow teacher. She did not even look in my direction. I did not eat that lunch. I would never recommend this school for any self respecting parent. If you are considering to send your children to this god-awful place, reconsider for the good of your children.",1,en,3 months ago
Modern Schools of Egypt 2000,Shery Kazem,H Trench we6 I love go  to  mse,5,en,2 months ago
Modern Schools of Egypt 2000,Catherine Miller,"Words Can not explain how horrible and unprofessional this school is especially from a working standpoint!  If you want to implement an American Curriculum, you also need to treat your employees and students like the American schools. You can not have an American curriculum and implement Egyptian rules behind it. You're not getting your money's worth in this education system. I am American and came from America to work here and it was the most horrible experience. I feel bad for the students who attend this school.",1,en,6 months ago
Modern Schools of Egypt 2000,Amgad Maher,Good school,4,en,3 weeks ago
Modern Schools of Egypt 2000,Aly Seif,Very bad they hit children and they give children bad experience,1,en,6 months ago
The International School of Egypt,Noha Soliman,"Balance between west and east, Strong arabic, Low student to teacher ratio, cozy environment, one family spirit, have been in this school for 6 years now.",5,en,a year ago
The International School of Egypt,Zaina Osama,"Im a student in this school, it is very good, we have many field trips and open days, I love it",5,en,a year ago
The International School of Egypt,Yehia Raafat,i am a student their its a really nice school and its not that expensive,5,en,10 months ago
The International School of Egypt,Christina Gad Elkareem,🌷❤ ISE is the best,5,en,6 months ago
The International School of Egypt,dalia wahby,One of the worst schools ever,1,en,5 months ago
Egypt British International School,Mina Ehab,i am in this school and i am in 3c whith ms may and rusel,5,en,2 months ago
Egypt British International School,Tia The vloger,This is my school and I am with ms.dalia and I love this school because it let us do trips and traveling I love it.i am ks1 and year two  2B,5,en,a year ago
Egypt British International School,samar abouelkheir,"About the british in young grades, the system is mixed between the national and international. The teachers are mainly very good when  they are avaliable but the administration is not up to the level. No individual attention to the kids and to the activities. .The kids are mostly not motivated. The academics are very good.",3,en,2 years ago
Egypt British International School,Maroon Mark,Extremely bad  administration and coordination especially in the beginning of year 10 but you will find amazing teachers,3,en,a year ago
Egypt British International School,Cheryl Wilson,Fantastic school with great teachers!,5,en,a year ago
The British School of Egypt,Salma Sabbah,My baby girl in that school very strong school,5,en,3 months ago
The British School of Egypt,Karim Elias,It's good,4,en,8 months ago
The British School of Egypt,Kid Meets Life,Terrible school,1,en,4 months ago
The British School of Egypt,Mohamed Gamal,Good school,5,en,a year ago
The British School of Egypt,#BONAFIDE,very expensive school,5,en,a year ago
Manhattan Schools Of Egypt,Michael Ernest,"A developing school, Hard working teachers.",4,en,2 months ago
Manhattan Schools Of Egypt,Haitham Taher,Excellent management with highly level of education.....Good luck,5,en,7 months ago
Manhattan Schools Of Egypt,Ziad Shaker Saad,National and International school,5,en,3 months ago
Manhattan Schools Of Egypt,Hisham Tohamy,Very good and big school with an excellent group of teachers,5,en,11 months ago
Manhattan Schools Of Egypt,Bright Brain,جديدة لكنها جيدة,4,ar,10 months ago
Akhnaton Egyptian Language Schools,Shehab Elsa2a,"I was in this school, and i really didn't benefit",1,en,2 months ago
Akhnaton Egyptian Language Schools,Mohamed Reda,"I am a Student there it is one of the best school in Egypt in education, fun 👍🏻👍🏻",5,en,a year ago
Akhnaton Egyptian Language Schools,Mohamed Amr,"Compared to other International schools, the American Division offers lower fees and thus lower education, facilities, services, teachers ,activities , and curriculums. Air conditioners are generally impaired due to lack of maintainence , Buses lack A.C , and teachers are apparently escaping from the school , particularly the American Section. It also offers little to no care about some academic subjects although the books and curriculums are standard. If you are able to afford more expensive schools, I strongly advice to enlist your children there.",2,en,a year ago
Akhnaton Egyptian Language Schools,Ahmed Jaheen,"kids are having fun while developing, and staff are collaborative.",5,en,2 years ago
Akhnaton Egyptian Language Schools,Amr Elfaramawy,This school is very nice,5,en,2 years ago
Green Valley School Egypt,salwa elkasabgy,"Green valley one of the best schools in Egypt . My 2 girls enrolled in the school since 6 years ago. If you are searching for your children building character,self confident, English and German language.Sure you will love to be their. But if you are only looking for full marks do not bother your self. They are excellent in building generations not in stuffing children mind with data. Green valley you are one of things God blessed me with in life.",5,en,a year ago
Green Valley School Egypt,Hany Todros,Great place to educate your children,5,en,a year ago
Green Valley School Egypt,Heba Elsherbiny,Excellent Educational Institution,5,en,a year ago
Green Valley School Egypt,Sayed Khider Awad,My work place,5,en,a year ago
Green Valley School Egypt,Mostafa El Nazer,Good school,5,en,a year ago
Cambridge Egypt - Egypt Integrated Schools,Lody Gamer 31,Its good,4,en,10 months ago
Cambridge Egypt - Egypt Integrated Schools,Justin Amazing,It's my school,4,en,7 months ago
Cambridge Egypt - Egypt Integrated Schools,Hany George,Internatioanl school,5,en,a year ago
