School Name,Author Name,Review,Rating,Language,Relative Time
Nozha Language Schools,khaled abbas,"Very good schools, has 2 branches in helipolis a cairo ismalia road",4,en,a year ago
Nozha Language Schools,Ahmed Fawzy,Good,4,en,a month ago
Nozha Language Schools,LANA Wael,I am in this school and I liked so much and it is a big school so you need to go to this school this year Only.,5,en,a year ago
Nozha Language Schools,Mahmoud Farouk,High level educational services,5,en,11 months ago
Nozha Language Schools,Haitham Faid,Very good school,4,en,11 months ago
Sahara Language School,Hossam Adel,good school,4,en,2 years ago
Sahara Language School,Mario Emad,Awesome,5,en,2 years ago
Sahara Language School,Fady Ashraf,My school ... yaay,5,ku,2 years ago
Sahara Language School,mohmed hatem,,1,en,2 weeks ago
Sahara Language School,Mina Fekry,,4,en,2 months ago
Manaret Heliopolis Language Schools,محترف الألعاب,مدرسة جميلة جدا,5,ar,4 months ago
Manaret Heliopolis Language Schools,Waleed Ismail,مدرسة لغات ناشيونال ولها فرع انترناشيونال في مكان اخر. التدريس والادارة جيده جدا,5,ar,a year ago
Manaret Heliopolis Language Schools,Mohamad Azazy,,4,en,a week ago
Manaret Heliopolis Language Schools,Mahmoud Badr,,5,en,2 weeks ago
Manaret Heliopolis Language Schools,Noha Fawzy,,5,en,2 weeks ago
Armenian Catholic Sisters' School,jouliana gameing,My shool,5,en,a year ago
Armenian Catholic Sisters' School,اشرف الاحمدي,مدرسه علي مستوي جبد,5,ar,10 months ago
Armenian Catholic Sisters' School,Heba Abdalla,,5,en,a month ago
Armenian Catholic Sisters' School,hassan nada,,5,en,2 months ago
Armenian Catholic Sisters' School,tamer sos,,5,en,2 months ago
Lycee Francais School,Moiz Dhansura,Good school,4,en,a year ago
Lycee Francais School,mariam tv,انا طالبة فى خامسة ابتداءى فى المدرسة,5,ar,4 months ago
Lycee Francais School,mostafahabib habib,جيده,4,ar,3 months ago
Lycee Francais School,kareem essam,من اقدم المدارس في شبرا,4,ar,a year ago
Lycee Francais School,الكتاكيت و البط الكتاكيت,مدرسه,5,fa,a year ago
Manaret L Eman School,Mahmoud Yasser,"It's not clean and the bus is not good. It's so scary. Too bad, don't enter it. The teachers bad.",1,en,in the last week
Manaret L Eman School,Karim Yahia,"ككب

لام",4,ar,10 months ago
Manaret L Eman School,moaz Abdlfatah,تا,1,fa,8 months ago
Manaret L Eman School,محمد سمير,الحمدلله مدرسه جميله,5,ar,2 years ago
Manaret L Eman School,Mohamed Mohamed Hanafy,,4,en,a year ago
St. Fatima Language School,Ahmed M AbdelMutea,"I have graduated from Saint Fatima school IGCSE school almost 6 years ago. From an educational perspective , I would.totally.recommend the school for IGCSE students aiming for high grades. There was a lot of professional teachers in most subjects and the office hours offered helped me.not to.take any private lessons. The school is generally clean and classes are well-equipped,however, it's too overcrowded for its size. My only concern before entering school was the reputation of fights between students but the school.took strong measures towards this by hiring bodyguards and a private security agency. The school however lacks amenities other IGCSE schools with similar price could have.",4,en,a week ago
St. Fatima Language School,Forgton games Maged Mohamed,it is my school since 2009 it is a very nice school it has many selective stuff one thing it has a pool and a gym that are the nice stuff it has also bad stuff all the school students are rude they don't stop saying bad words the teachers are nice,4,en,in the last week
St. Fatima Language School,tarek ibrahim,"One of the best schools in nasr city, i highly recommend it for you",5,en,a week ago
St. Fatima Language School,Fady Nader,"I don't advice anyone to join this school 
I will tell you a situation happened with me although it was my school for 16 long years and one day i made a decision to enter to say hello to teachers in national department but i got surprised from the security on the gates telling me that it's not allowed to me to enter, parents only 
Really it was awesome school in the past but now it became ...............................",1,en,3 months ago
St. Fatima Language School,wsm lotfy,"Bad staff
The principal deals like a valgur without respecting the parents and the employees.
What kind of education you provide to the kids ""Mme Antoinette & Mme Sherin """,1,en,8 months ago
Alam El Din Private Language Schools,Aya Abdo,ما هو المنهج,1,ar,5 months ago
Alam El Din Private Language Schools,Mohamed Mahmoud,شكرا لكم,5,ar,9 months ago
Alam El Din Private Language Schools,Mohamed Amin,,1,ar,2 years ago
Alam El Din Private Language Schools,HossaM Tarek,,4,en,7 months ago
Alam El Din Private Language Schools,Hamdy el dawi,,3,en,2 years ago
The Egyptian Language School,Explorer Leader,One of the greatest language school in Cairo.,4,en,a year ago
The Egyptian Language School,Rami Kabbani,"معاملة زبالة
تعليم زبالة",1,ar,7 months ago
The Egyptian Language School,Abdelrahim IsmailHamid,ممتازة,5,ar,a year ago
The Egyptian Language School,Delicca Delicca2,,2,en,3 months ago
The Egyptian Language School,Mohamed Talaat Asran,,5,en,4 months ago
Sunrise Language School,Amr El Naggar,"Stayed there for 12 years, got good education for primary stage only, after that I depended on private lessons. Mr. Atef appoints graduates with no experience to teach, they know nothing.",2,en,4 years ago
Sunrise Language School,Salma Mohamed,I love my school,5,en,4 years ago
Sunrise Language School,Habiba Medhat,I miss,5,en,3 years ago
Sunrise Language School,Ahmed Slim,مكان العمل,5,ar,2 months ago
Sunrise Language School,Ayah Elshamy,ورانا ^_^,5,sd,4 years ago
Zoser Princes Language School,Hesham Sallam,Creative and make sure you are in right place,5,en,5 months ago
Zoser Princes Language School,Light Yagami,One of the worst schools I've encountered in my entire life.,1,en,a year ago
Zoser Princes Language School,Ayman Mostafa,One of the very good Schools in Egypt,5,en,4 years ago
Zoser Princes Language School,Shady Nahlawy,Don't know,3,en,a year ago
Zoser Princes Language School,Rasha Gamal,My next home,5,en,a year ago
Jalal School Private School,Emad ahmed,مستوها التعليمى جيد,3,ar,a year ago
