School Name,Author Name,Review,Rating,Language,Relative Time
German School in Hurghada,Yassin Aboumadina,It failed to educate me,1,en,2 months ago
German School in Hurghada,Mallory Without,"Одна из лучших школ в Хургаде с возможностью получения международного сертификата. Обучение ведётся на немецком языке. Так же изучаются английский, арабский и французский языки. 
Удобное месторасположения - в центре города, но нет трансфера.
При школе есть детский сад для детей с 2х лет. 
Трёхразовое питание входит в стоимость обучения. Меню расписано на сайте школы. Там же можно найти  информацию об оплате.",5,ru,a month ago
German School in Hurghada,Me Zo,,5,ar,2 months ago
German School in Hurghada,Shirin Rizk,,5,de,a year ago
sunrise international school,Trasod Hurghada,Design,5,en,3 months ago
sunrise international school,Spiffy Nile,,5,ar,a month ago
Saint Joseph School,kids palace nursery hurghada,It's the best school in Hurghada💟💟,5,en,7 months ago
Saint Joseph School,Yousef Menesy,"Worst school, even though i was here a long time ago as a student, this school had the worst teachers and principles. the teachers couldn't pronounce the word ""Stool"" properly (they pronounced it as ""Stole"") and if you forget a book, you'd need to stand at the board in a row with the fellow classmates who also forgot the book and each would get a smack from the teacher with either a strong metal ruler and wooden ruler on each of the hands with the most brutal force. if the teacher is not feeling like giving out the smacks, then its the nuns.
trust me, not the school to let your children go to or grow up with!!!",1,en,2 years ago
Saint Joseph School,Malak Sedarous,One of the best schools in hurghada.,5,en,2 years ago
Saint Joseph School,Sameh Milad,One of the best schools at Hurghada,5,en,2 years ago
Saint Joseph School,islam barbary,Best school,5,en,a year ago
School Life Makers International (Happy American),mostafa elsarraj,,5,ar,6 months ago
Modern Egyptian School,Mohammed Abulnasr,"Better now, Please treatment please take more care of the stuff and salaries",3,en,8 months ago
Modern Egyptian School,Yoyo Snb,very bad and very good,1,en,5 months ago
Modern Egyptian School,زفت زفت,,2,ar,a month ago
Royal El Geel El Saed Private School,Faisal Ahmad,👍🏼,5,en,a year ago
Royal El Geel El Saed Private School,Ahmed Mohamed,انا و اخويا من طلاب هذه المدرسة,5,ar,2 months ago
Royal El Geel El Saed Private School,Abdallah Ahmed,انه مكان جميل لقد تدربت فيه,5,ar,a year ago
Royal El Geel El Saed Private School,mostafa shzly,انا اول مري في حايتي اشوف مدرسة  حلوي مثل المدرسي دي انا حتخل فيها,5,ar,3 years ago
Royal El Geel El Saed Private School,Walla Shamhot,اجمل مدرسة في العالم,5,ar,3 years ago
School leader Mustafa Kamel primary common,The.ghost 123,,2,ar,a week ago
School leader Mustafa Kamel primary common,therwt صموئيل,,1,ar,5 months ago
Hurghada Middle School,Arwa M..,مدرستى الجميله,5,ar,3 months ago
Hurghada Middle School,MrSamehrezkallah,مدرسة عادية,1,ar,2 months ago
Hurghada Middle School,Smart Way,الو,3,ar,3 months ago
Hurghada Middle School,Popo Elsanosy,مدرستى القديمة,5,ar,10 months ago
Hurghada Middle School,Ahmed Gamal,,5,en,5 months ago
"Mubarak, 11 public primary schools",Mohammed Abulnasr,Good school and stuff but need more support and enhancements,4,en,4 months ago
"Mubarak, 11 public primary schools",Me Zo,مدرسين على قدهم والاداره فاشله ولو فى مشكلة مع ابنك ممنوع دخولك المدرسة غير بعد الساعه 12اى الهبل دا,1,ar,2 months ago
"Mubarak, 11 public primary schools",GO TO,جيد جدا,5,ar,a month ago
"Mubarak, 11 public primary schools",kooky l,,2,en,a year ago
"Mubarak, 11 public primary schools",Aza Moustafa,,1,ar,a year ago
Sunrise Language School Hurghada,bob bob,,5,ar,12 months ago
Future Pioneers Languages Schools,Mohammed Abulnasr,Very good School in education and activities. thank you,5,en,4 months ago
Future Pioneers Languages Schools,Hala Salah,أنا أحب مدرسة رواد المستقبل,5,ar,6 months ago
Future Pioneers Languages Schools,Trasod Hurghada,,3,en,2 months ago
Future Pioneers Languages Schools,kooky l,,4,ar,a year ago
El Minaa Mixed Secondary School,Fahdabydos Fahdabydos,ممتاز نخبه من افضل المدارس الخاصة,5,ar,5 months ago
El Minaa Mixed Secondary School,علاء محمد,,5,ar,8 months ago
El Minaa Mixed Secondary School,اسلام حسن,,5,ar,2 years ago
Royal Schools,John Wagih,Private School. Sporting School,5,en,9 months ago
Royal Schools,mohamed lolo,روووووعه,5,ar,5 months ago
School of Omar Ibn al-Khattab Prep Boys,Amro Alshokaly,مكانى,5,ar,2 months ago
