School Name,Author Name,Review,Rating,Language,Relative Time
Egyptian Language School/ EAIS/ EBIS,hesham karam,It is so cute and good,5,en,8 months ago
Egyptian Language School/ EAIS/ EBIS,Hisham Tohamy,Very intelligent school,5,en,11 months ago
Egyptian Language School/ EAIS/ EBIS,Amir Roshdy,good school,3,en,a year ago
Egyptian Language School/ EAIS/ EBIS,Ahmed Hassan,Very Expensive,3,en,10 months ago
Egyptian Language School/ EAIS/ EBIS,mansour amer,Nice,4,en,a year ago
Nefertari School,Ayman El-Ghandor,,5,en,3 weeks ago
Nefertari School,noura ahmed,,1,en,a month ago
Nefertari School,Khaled Saleh,,5,en,6 months ago
Nefertari School,Ahmed El-SAWY,,4,ar,4 months ago
Royal International Language Schools,iman aldawakhly,"Very good communication andd follow up with parents by phone and mail, which is not found in most other schools",5,en,4 months ago
Royal International Language Schools,DJF,I am a handsome man,1,en,a month ago
Royal International Language Schools,Hisham Tohamy,Royal international school one of the most intelligent schools in egypt,5,en,11 months ago
Royal International Language Schools,Dr. Mohamed Mahran,"Very good school.
Although, the class densities are getting higher in the last years. they need to think relocation to a larger Area.",5,en,2 years ago
Royal International Language Schools,Marwa Fawzy,I have no direct experience at the school itself but whenever i read any thing on its official page i find fatal spelling mistakes . If this is their official page how is the school itself?! Kindly let a good teacher of English check the spellings for your good,1,en,2 years ago
Geel 2000 Language School,Mostafa Safwat,This is very good scohl,5,en,2 years ago
Geel 2000 Language School,Mohamed Emad El-Din,Nice building,3,en,a year ago
Geel 2000 Language School,Tarek Amean,مدرسة تتميز انها ذات إدارة واعية ومتفهمة لكل نواحي العملية التعليمية,4,ar,3 months ago
Geel 2000 Language School,Mohamed Adel,للاسف مدرسة سيئة ماشية بالوسايط..يعني دافعين فلوس و كمان محتاجين وسايط,1,ar,9 months ago
Geel 2000 Language School,حوراء •_• Howraa,روعه,5,ar,in the last week
Al Khalil Language Schools,Hisham Tohamy,Very good school,5,en,8 months ago
Al Khalil Language Schools,mennatallah mohamed,My school where is my friends and teachers 6 years in it♡♥♡♥love it,5,en,2 years ago
Al Khalil Language Schools,Mohamed Sabry,My son school 👍,5,en,11 months ago
Al Khalil Language Schools,Mennatallah Mohamed,My place for 7 years,5,en,a year ago
