School Name,Author Name,Review,Rating,Language,Relative Time
Sahara Language School,Hossam Adel,good school,4,en,2 years ago
Sahara Language School,Mario Emad,Awesome,5,en,2 years ago
Sahara Language School,Fady Ashraf,My school ... yaay,5,ku,2 years ago
Sahara Language School,mohmed hatem,,1,en,2 weeks ago
Sahara Language School,Mina Fekry,,4,en,2 months ago
مدارس الألسن الأزهرية AlAlson Azhari Language Schools,احمد حسن,"السلام عليكم 
عندى سؤال وياريت الإجابة لأنى غير متواجد بمصر 
دى مدرسة لأى مرحلة تعليمية 
وهل يوجد أتوبيسات لسكان فيصل . المنشية .أو الدائرى 
وبالنسبة للمصاريف و المنهج 
حد يفيدني افادكم الله",3,ar,9 months ago
مدارس الألسن الأزهرية AlAlson Azhari Language Schools,Mohannd Fawzy,,1,en,a week ago
مدارس الألسن الأزهرية AlAlson Azhari Language Schools,Gamal Alafriky,,1,ar,6 months ago
Creative International School,Mohamed Samy,A good MGMT & a good educational level,5,en,11 months ago
Creative International School,المسرح __EL-Masra7,المدرسة جميلة جدآ انا ساكن بجوارها,5,ar,9 months ago
Creative International School,ابو حمد,"السلام عليكم 
اخواني ممن تخبروني عن التدريس في هاي المدرسه لاني مقبل علئ الدراسه فهاي المدرسه",5,ar,12 months ago
Creative International School,Fouad Eid,بالمصرى,5,ar,10 months ago
Creative International School,Ahmed Tarek,,5,en,3 months ago
Lycee Francais School,Moiz Dhansura,Good school,4,en,a year ago
Lycee Francais School,mariam tv,انا طالبة فى خامسة ابتداءى فى المدرسة,5,ar,4 months ago
Lycee Francais School,mostafahabib habib,جيده,4,ar,3 months ago
Lycee Francais School,kareem essam,من اقدم المدارس في شبرا,4,ar,a year ago
Lycee Francais School,الكتاكيت و البط الكتاكيت,مدرسه,5,fa,a year ago
Alam El Din Private Language Schools,Aya Abdo,ما هو المنهج,1,ar,5 months ago
Alam El Din Private Language Schools,Mohamed Mahmoud,شكرا لكم,5,ar,9 months ago
Alam El Din Private Language Schools,Mohamed Amin,,1,ar,2 years ago
Alam El Din Private Language Schools,HossaM Tarek,,4,en,7 months ago
Alam El Din Private Language Schools,Hamdy el dawi,,3,en,2 years ago
Dar El Tarbiah School,تامر مجدى,متوسط الخدمات,3,ar,6 months ago
Dar El Tarbiah School,Hayatزز Mohamed,سمعت انها صعبه جدا وشديده اوي مع الطلبه واولياء الامور,4,ar,a year ago
Dar El Tarbiah School,youssef hamedy,,4,en,3 months ago
Dar El Tarbiah School,Sameh Farah,,4,en,3 months ago
Dar El Tarbiah School,Sun Fun,,2,en,4 months ago
Fadl Modern Schools,Aliaa Atef,"Needs other teachers in some subjects such as, English, physics,biology and science for preparatory classes.",3,en,4 months ago
Fadl Modern Schools,Hisham Nageuip,تعليم علي مستوي عالي,4,ar,a month ago
Fadl Modern Schools,kenzy mohamed,انا بعشق هذة المدرسة لانها مدرستي,5,ar,8 months ago
