School Name,Author Name,Review,Rating,Language,Relative Time
Bakier Stationery,SarahKay,"Very good place to find art supplies like various sketchbooks, different types and sizes of brushes and more. It would be great to have more variation in products. Some things like brush pens for example don't exist at all.",4,en,a year ago
Bakier Stationery,Sam Seif,Love it ! Almost everything you need is found there specially imported items,5,en,a year ago
Bakier Stationery,ahmed abdel aziz,Good stationary,4,en,5 months ago
Bakier Stationery,Mina Rizk,"A classy stationery,  can easily find great gifts.  A bit expensive than others.",5,en,2 years ago
Bakier Stationery,DAVID,great products. rather pricy though..,4,en,a year ago
Samir & Aly Stationary House,Mohammad Helmy,Good stationery! You almost find everything there.,4,en,3 months ago
Samir & Aly Stationary House,Maulanaisme,Actually the prices are higher than others.,4,en,a week ago
Samir & Aly Stationary House,Maged Elhelaly,Good for stationary stuff good prices,4,en,6 months ago
Samir & Aly Stationary House,Mohamed Algamel,They have the best in quality but their prices is very high :/,4,en,a year ago
Samir & Aly Stationary House,Hisham Amin,Best to get school supply lists and stationary in good prices,3,en,a year ago
Sameer & Ali Stationary House,ghazal ashrad,Unprofessional people are working there tried to buy a canvas but stopped because of the rude workers there 👎🏻but good prices,2,en,5 months ago
Sameer & Ali Stationary House,Islam El Sharqawy,A very important stationery specialized in art materials and tools and colors. A must for every artist,5,en,10 months ago
Sameer & Ali Stationary House,Ahmed Eishra,Good quality and lot of stationary options,5,en,a year ago
Sameer & Ali Stationary House,ahmed ragab,Good prices and a perfect quality,5,en,a year ago
Sameer & Ali Stationary House,Ahmad Alaa,Very good,5,en,a year ago
Samir & Ali Stationary House,Vanessa Kea,Nice stationary but call first to ask for things. They just had one of the ones I wanted.,3,en,a week ago
Samir & Ali Stationary House,Lina Tawfik,"No matter which one you go to, they're the best. Everything you need related to any stationary needs and crafting desires can be almost guaranteed to be found there.",5,en,2 months ago
Samir & Ali Stationary House,Ahmed Diaaeldin,Very inexperienced staff and had to find my supplies myself in the store after staff claiming they don't have it. Not ordered and mediocre quality,1,en,2 months ago
Samir & Ali Stationary House,Michael Rizkalla,"A great library on of many libraries of Samir and Ali libraries, it located on Hasan Almaamon street at Nasr City neer Elnasr road and Alahly club, it's a large place has 2 floors, it sells all libraries things as coloring tools and all stationary, there's a great service and friendly staff.",5,en,5 months ago
Samir & Ali Stationary House,DrSamy Abdallah,"Every thing you need for your office, writing, mail, paper work is there. But hill expensive you will pay a lot of money",3,en,8 months ago
Samir & Aly Stationery House,Raghda El Sebaay,Ilove you samir and aly,5,en,a month ago
Samir & Aly Stationery House,Mohammad Helmy,"Good experience. Except some items that aren't priced.
But in general you'll find everything you want. With the price level that suits your needs.",4,en,a month ago
Samir & Aly Stationery House,Nora,"They have pretty much anything you want for school, college, office, etc... their products are made with good materials too.",5,en,4 months ago
Samir & Aly Stationery House,Malak El Masry,"Not the best option for art equipment, but perfect for office stationary, ask about their loyalty cards for good discounts if you are a frequent shopper",4,en,6 months ago
