School Name,Author Name,Review,Rating,Language,Relative Time
Samir & Aly,Aleksey Gudenko,"Professional supplier of high quality stationary and office supplies, as well as everything for painters, artists, schools and children. Top floor is a really nice toy shop for kids.
Generally speaking here you will find everything you need for an office, art and kids.",5,en,5 months ago
Samir & Aly,Osama Rashad,Good store for all students and for official work. Alot of pens and notes and all what you want to do with paperwork,5,en,a month ago
Samir & Aly,Mohamad Refaat,A nice stationary store who almost have all your requirements,5,en,5 months ago
Samir & Aly,Radwa said sallam,You can find everything in this place! Love it,5,en,7 months ago
Samir & Aly,Lea Jelstad,Good office supplier shop,4,en,2 months ago
Cocktail Stationery,Khaled Elmegharbel,,4,en,8 months ago
Shehata Stationery,Osama Hosokawa,,5,en,9 months ago
Shehata Stationery,Mohamed Safwat,,4,ar,6 months ago
Shehata Stationery,Ahmed Gamal,,3,ar,9 months ago
Shehata Stationery,Mahmoud Sayed,,3,ar,a year ago
Shehata Stationery,Anna Kislukhina,,4,ru,a year ago
Disney World Shopping Mall,Justina Ma,Very good variety and reasonable cost,5,en,5 months ago
Disney World Shopping Mall,Tamer Ryzk,Big variety of products,4,en,11 months ago
Disney World Shopping Mall,Marmar Maro,All the mall is amazing,5,en,2 years ago
Disney World Shopping Mall,Remon Melad,Nice place,5,en,2 years ago
Disney World Shopping Mall,mostafa mahmoud,expensive,3,en,a year ago
Flower Island,Paul Vinten,Small flower shop at the petrol station with limited range of stock. OK for a quick stop but don't expect too much!,3,en,5 months ago
Aiactive technologies,Ahmed Nasr,Big company,5,en,a year ago
Aiactive technologies,Ahmed Helmy,Great guys,5,en,a year ago
Aiactive technologies,محمود علي,مكان جيد للتسوق,3,ar,3 months ago
Aiactive technologies,abdelrahman sallam,ممتاز,5,ar,a year ago
Aiactive technologies,A M,ممتاز,5,ar,a year ago
شركه A2لصيانه ماكينات التصوير ريكو,ahmed elhadarry,"صيانه ماكينات تصوير ريكو
احبار HP
احبار ريكو
صيانه طابعات HP",5,ar,10 months ago
شركه A2لصيانه ماكينات التصوير ريكو,Adnan Hagagy,,1,ar,in the last week
شركه A2لصيانه ماكينات التصوير ريكو,Samh Samir,,5,ar,4 months ago
