School Name,Author Name,Review,Rating,Language,Relative Time
Samir & Aly Stationery House,Hamaris Mudayat,"This shop provides a good quality stationary such as kinds of writing books, notes books, drawing books, book covers, bags, kinds of papers, pencils, pens, markers, art paints, kinds of rulers, digital calculators, self adhesive tapes. The space is so narrow.",3,en,6 months ago
Samir & Aly Stationery House,Mahmoud Elnahla,"Very good place, always my choice for stationary items - all what you need in one place.",4,en,7 months ago
Samir & Aly Stationery House,ehab saad,Veryyyyy bad as it was crowded and no rules and Veryyyyy long queue,1,en,8 months ago
Samir & Aly Stationery House,Abdullah Haitham,"Unorganized small space, too many people.
Otherwise, brilliant",4,en,7 months ago
Samir & Aly Stationery House,amr nasser,Good place but very expenseve,3,en,4 months ago
El Maayergy Stationery Mall,M Honi,"if u need any art 🎨 supplies, notebooks for school or any office supplies u came to the right place. this multifloors mall have all u need in terms of stationary and they are not very expensive, also whats really cool is the fact that their staff doesn't like to bother u while browsing for stuff to buy.",5,en,a week ago
El Maayergy Stationery Mall,Hussein Gouda,"friendly helpfull staff, all stationary I need under one roof",5,en,2 weeks ago
El Maayergy Stationery Mall,Mhta Mhta,"Good place, helpful staff 
Has several good items but some things are overpriced",4,en,2 months ago
El Maayergy Stationery Mall,Mohamed Azim,Great place to shop for stationery.,5,en,a week ago
El Maayergy Stationery Mall,Tammy Bradley,Best store for all school supply needs.,5,en,a month ago
Alam Semsem Stationery,Ahmed Abdo,Nice place,4,en,2 weeks ago
Alam Semsem Stationery,Hussein Bakr,"مكتبة مع انها صغيرة لكن متنوعة ويوجد لديهم خدمة فوري لدفع الفواتير وفريق العمل محترم جدا والاسعار متوسطة
المحل ليس على الواجهة وانما داخل المول في الدور الارضي",5,ar,2 years ago
Alam Semsem Stationery,Waleed Farrag,,3,en,a year ago
Sojy Stationery || مكتبة سوجي,Ahmed Dabouh,Nice collection,4,en,9 months ago
Sojy Stationery || مكتبة سوجي,wafaa Darwesh,مكتبة متكاملة ..فيها كل حاجة..والاستاذ وليد راجل ذوق جدا 🙋,5,ar,9 months ago
Sojy Stationery || مكتبة سوجي,Ahmed Hasanen,مكان جميل للتسوق وخدمة مميزة جدا جدا  وأسعار مناسبة في متناول الجميع,5,ar,2 months ago
Sojy Stationery || مكتبة سوجي,Hussein Moh,مم,3,ar,in the last week
Sojy Stationery || مكتبة سوجي,Walaa Azmy,مكتبه اكتر من رائعه ومتميزه عن غيرها,5,ar,8 months ago
الشروق مكتبة - Elsherouk Stationary,Mahitab Elbehery,Small stationery shop with good prices,4,en,3 months ago
مكتبة شمندورة Shamadoura Stationery Shop,Shady Emeel,,5,en,a week ago
مكتبة شمندورة Shamadoura Stationery Shop,Elsayed Esmaeil,,1,ar,a month ago
